"","model","AIC","cAIC"
"1","as.factor(year) + temp + dist",4685.8717834623,4573.43830431939
"2","as.factor(year) + s(temp) + s(dist)",4542.63777247799,4266.68041605033
"3","as.factor(year) + temp",4570.78424575136,4369.09694011127
"4","as.factor(year) + dist",4570.12550560626,4368.85356359486
"5","as.factor(year) + s(temp)",4572.78424605344,4371.10005405604
"6","as.factor(year) + s(dist)",4539.56758563409,4262.29937786147
"7","as.factor(year)",4568.83093116805,4366.75001359971
"8","temp + dist",4594.01813622082,4341.57049977409
"9","s(temp) + s(dist)",4564.15387172015,4229.22412023837
"10","temp",4592.1428810877,4339.24120083197
"11","dist",4592.08590138623,4339.1954945414
"12","s(temp)",4594.1428815684,4341.2536074153
"13","s(dist)",4560.47768661811,4225.56168339237
"14","as.factor(year) + s(temp) + dist",4573.84704243828,4373.72913006804
"15","as.factor(year) + temp + s(dist)",4540.63777224284,4264.67983088602
"16","temp + s(dist)",4562.15387134215,4227.22357325168
"17","s(temp) + dist",4596.01813658674,4343.58329922092
"18","no fixed effects",4590.17573899341,4337.00170864624
